Point,Away,Right,Elevation,Description
1,-2.61,2.09,101.38,(entry)
2,-1.63,2.08,101.16,JT 0
3,17.37,1.8,96.96,JT 1
4,37.06,1.39,93.47,JT 2
5,56.86,1.05,90.67,JT 3
6,76.74,0.88,88.47,JT 4
7,96.65,0.39,86.74,JT 5
8,116.61,-0.1,85.54,JT 6
9,136.6,-0.19,84.95,JT 7
10,156.6,-0.18,84.81,JT 8
11,176.6,-0.17,84.81,JT 9
12,196.6,-0.22,84.8,JT 10
13,216.6,-0.19,84.76,JT 11
14,236.6,-0.52,84.74,JT 12
15,256.59,-1.1,84.74,JT 13
16,276.59,-1.13,84.75,JT 14
17,296.58,-0.75,84.74,JT 15
18,316.58,-0.63,84.78,JT 16
19,336.58,-0.89,84.83,JT 17
20,356.57,-1.28,84.84,JT 18
21,376.57,-1.62,84.86,JT 19
22,396.57,-1.87,84.86,JT 20
23,416.57,-1.77,84.9,JT 21
24,436.56,-1.36,84.95,JT 22
25,456.56,-1.02,85.05,JT 23
26,476.55,-0.54,85.17,JT 24
27,496.55,-0.19,85.3,JT 25
28,516.55,-0.04,85.39,JT 26
29,536.55,0.14,85.49,JT 27
30,556.55,0.22,85.62,JT 28
31,576.55,0.2,85.76,JT 29
32,596.55,0.23,85.88,JT 30
33,616.55,0.3,86.02,JT 31
34,636.55,0.32,86.15,JT 32
35,656.55,0.3,86.28,JT 33
36,676.54,0.34,86.41,JT 34
37,696.54,0.47,86.52,JT 35
38,716.54,0.59,86.62,JT 36
39,736.54,0.71,86.67,JT 37
40,756.54,0.8,86.63,JT 38
41,776.54,0.86,86.57,JT 39
42,796.54,0.83,86.52,JT 40
43,816.54,0.42,86.5,JT 41
44,836.53,-0.04,86.52,JT 42
45,856.53,-0.37,86.59,JT 43
46,876.53,-0.71,86.74,JT 44
47,896.52,-0.91,86.87,JT 45
48,916.52,-1.03,86.99,JT 46
49,936.52,-0.99,87.1,JT 47
50,956.52,-0.81,87.22,JT 48
51,976.52,-0.57,87.3,JT 49
52,996.52,-0.39,87.31,JT 50
53,1016.52,-0.33,87.4,JT 51
54,1036.52,-0.18,87.57,JT 52
55,1056.52,-0.04,87.74,JT 53
56,1076.51,-0.15,87.93,JT 54
57,1096.51,-0.36,88.15,JT 55
58,1116.51,-0.48,88.34,JT 56
59,1136.51,-0.57,88.51,JT 57
60,1156.51,-0.55,88.7,JT 58
61,1176.51,-0.39,88.89,JT 59
62,1196.51,-0.14,89.02,JT 60
63,1216.5,0.01,89.08,JT 61
64,1236.5,-0.01,89.13,JT 62
65,1256.5,-0.1,89.32,JT 63
66,1276.5,0.07,89.83,JT 64
67,1296.48,0.27,90.51,JT 65
68,1302.48,0.25,90.7,JT 66
